trade_number,condition,block,signal_sequence,signal_epoch,signal_utc,signal_eat,result_sequence,result_digit,outcome,net_profit,cumulative_pnl,drawdown,cooldown_after,consecutive_wins_after,consecutive_losses_after
1,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,1,680,1782894244,2026-07-01T08:24:04+00:00,2026-07-01T11:24:04+03:00,681,9,win,0.20000000000000007,0.20000000000000007,0.0,1,1,0
2,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,1,842,1782894406,2026-07-01T08:26:46+00:00,2026-07-01T11:26:46+03:00,843,3,loss,-0.35,-0.1499999999999999,0.35,3,0,1
3,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,1,937,1782894501,2026-07-01T08:28:21+00:00,2026-07-01T11:28:21+03:00,938,5,win,0.20000000000000007,0.050000000000000155,0.1499999999999999,1,1,0
4,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,2,1153,1782894717,2026-07-01T08:31:57+00:00,2026-07-01T11:31:57+03:00,1154,7,win,0.20000000000000007,0.2500000000000002,0.0,1,2,0
5,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,2,1245,1782894809,2026-07-01T08:33:29+00:00,2026-07-01T11:33:29+03:00,1246,7,win,0.20000000000000007,0.4500000000000003,0.0,1,3,0
6,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,2,1503,1782895067,2026-07-01T08:37:47+00:00,2026-07-01T11:37:47+03:00,1504,8,win,0.20000000000000007,0.6500000000000004,0.0,1,4,0
7,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,2,1522,1782895086,2026-07-01T08:38:06+00:00,2026-07-01T11:38:06+03:00,1523,7,win,0.20000000000000007,0.8500000000000004,0.0,1,5,0
8,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,2,1591,1782895155,2026-07-01T08:39:15+00:00,2026-07-01T11:39:15+03:00,1592,0,loss,-0.35,0.5000000000000004,0.35,3,0,1
9,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,2,1771,1782895335,2026-07-01T08:42:15+00:00,2026-07-01T11:42:15+03:00,1772,5,win,0.20000000000000007,0.7000000000000005,0.1499999999999999,1,1,0
10,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,2,1971,1782895535,2026-07-01T08:45:35+00:00,2026-07-01T11:45:35+03:00,1972,7,win,0.20000000000000007,0.9000000000000006,0.0,1,2,0
11,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,3,2516,1782896080,2026-07-01T08:54:40+00:00,2026-07-01T11:54:40+03:00,2517,5,win,0.20000000000000007,1.1000000000000005,0.0,1,3,0
12,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,3,2940,1782896504,2026-07-01T09:01:44+00:00,2026-07-01T12:01:44+03:00,2941,0,loss,-0.35,0.7500000000000006,0.35,3,0,1
13,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,4,3256,1782896820,2026-07-01T09:07:00+00:00,2026-07-01T12:07:00+03:00,3257,6,win,0.20000000000000007,0.9500000000000006,0.1499999999999999,1,1,0
14,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,4,3514,1782897078,2026-07-01T09:11:18+00:00,2026-07-01T12:11:18+03:00,3515,5,win,0.20000000000000007,1.1500000000000008,0.0,1,2,0
15,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,5,4067,1782897631,2026-07-01T09:20:31+00:00,2026-07-01T12:20:31+03:00,4068,6,win,0.20000000000000007,1.350000000000001,0.0,1,3,0
16,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,5,4205,1782897769,2026-07-01T09:22:49+00:00,2026-07-01T12:22:49+03:00,4206,3,loss,-0.35,1.0000000000000009,0.3500000000000001,3,0,1
17,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,5,4607,1782898171,2026-07-01T09:29:31+00:00,2026-07-01T12:29:31+03:00,4608,9,win,0.20000000000000007,1.200000000000001,0.1499999999999999,1,1,0
18,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,5,4651,1782898215,2026-07-01T09:30:15+00:00,2026-07-01T12:30:15+03:00,4652,6,win,0.20000000000000007,1.4000000000000012,0.0,1,2,0
19,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,5,4656,1782898220,2026-07-01T09:30:20+00:00,2026-07-01T12:30:20+03:00,4657,1,loss,-0.35,1.0500000000000012,0.3500000000000001,3,0,1
20,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,6,5141,1782898705,2026-07-01T09:38:25+00:00,2026-07-01T12:38:25+03:00,5142,7,win,0.20000000000000007,1.2500000000000013,0.1499999999999999,1,1,0
21,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,6,5325,1782898889,2026-07-01T09:41:29+00:00,2026-07-01T12:41:29+03:00,5326,5,win,0.20000000000000007,1.4500000000000015,0.0,1,2,0
22,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,6,5331,1782898895,2026-07-01T09:41:35+00:00,2026-07-01T12:41:35+03:00,5332,9,win,0.20000000000000007,1.6500000000000017,0.0,1,3,0
23,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,6,5560,1782899124,2026-07-01T09:45:24+00:00,2026-07-01T12:45:24+03:00,5561,7,win,0.20000000000000007,1.8500000000000019,0.0,1,4,0
24,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,6,5826,1782899390,2026-07-01T09:49:50+00:00,2026-07-01T12:49:50+03:00,5827,0,loss,-0.35,1.5000000000000018,0.3500000000000001,3,0,1
25,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,7,6365,1782899929,2026-07-01T09:58:49+00:00,2026-07-01T12:58:49+03:00,6366,4,win,0.20000000000000007,1.700000000000002,0.1499999999999999,1,1,0
26,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,7,6875,1782900439,2026-07-01T10:07:19+00:00,2026-07-01T13:07:19+03:00,6876,2,loss,-0.35,1.3500000000000019,0.5,3,0,1
27,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,8,7729,1782901293,2026-07-01T10:21:33+00:00,2026-07-01T13:21:33+03:00,7730,2,loss,-0.35,1.0000000000000018,0.8500000000000001,3,0,2
28,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,9,8064,1782901628,2026-07-01T10:27:08+00:00,2026-07-01T13:27:08+03:00,8065,9,win,0.20000000000000007,1.200000000000002,0.6499999999999999,1,1,0
29,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,9,8302,1782901866,2026-07-01T10:31:06+00:00,2026-07-01T13:31:06+03:00,8303,7,win,0.20000000000000007,1.4000000000000021,0.44999999999999973,1,2,0
30,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,9,8715,1782902279,2026-07-01T10:37:59+00:00,2026-07-01T13:37:59+03:00,8716,9,win,0.20000000000000007,1.6000000000000023,0.24999999999999956,1,3,0
31,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,9,8801,1782902365,2026-07-01T10:39:25+00:00,2026-07-01T13:39:25+03:00,8802,6,win,0.20000000000000007,1.8000000000000025,0.04999999999999938,1,4,0
32,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,10,9231,1782902795,2026-07-01T10:46:35+00:00,2026-07-01T13:46:35+03:00,9232,5,win,0.20000000000000007,2.0000000000000027,0.0,1,5,0
33,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,10,9386,1782902950,2026-07-01T10:49:10+00:00,2026-07-01T13:49:10+03:00,9387,1,loss,-0.35,1.6500000000000026,0.3500000000000001,3,0,1
34,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,10,9703,1782903267,2026-07-01T10:54:27+00:00,2026-07-01T13:54:27+03:00,9704,3,loss,-0.35,1.3000000000000025,0.7000000000000002,3,0,2
35,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,10,9724,1782903288,2026-07-01T10:54:48+00:00,2026-07-01T13:54:48+03:00,9725,3,loss,-0.35,0.9500000000000025,1.0500000000000003,15,0,3
36,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,10,9766,1782903330,2026-07-01T10:55:30+00:00,2026-07-01T13:55:30+03:00,9767,7,win,0.20000000000000007,1.1500000000000026,0.8500000000000001,1,1,0
37,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,11,10862,1782904426,2026-07-01T11:13:46+00:00,2026-07-01T14:13:46+03:00,10863,3,loss,-0.35,0.8000000000000026,1.2000000000000002,3,0,1
38,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,12,11748,1782905312,2026-07-01T11:28:32+00:00,2026-07-01T14:28:32+03:00,11749,4,win,0.20000000000000007,1.0000000000000027,1.0,1,1,0
39,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,12,11944,1782905508,2026-07-01T11:31:48+00:00,2026-07-01T14:31:48+03:00,11945,3,loss,-0.35,0.6500000000000027,1.35,3,0,1
40,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,12,11985,1782905549,2026-07-01T11:32:29+00:00,2026-07-01T14:32:29+03:00,11986,6,win,0.20000000000000007,0.8500000000000028,1.15,1,1,0
41,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,13,12430,1782905994,2026-07-01T11:39:54+00:00,2026-07-01T14:39:54+03:00,12431,9,win,0.20000000000000007,1.050000000000003,0.9499999999999997,1,2,0
42,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,13,12513,1782906077,2026-07-01T11:41:17+00:00,2026-07-01T14:41:17+03:00,12514,2,loss,-0.35,0.700000000000003,1.2999999999999998,3,0,1
43,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,13,12525,1782906089,2026-07-01T11:41:29+00:00,2026-07-01T14:41:29+03:00,12526,9,win,0.20000000000000007,0.900000000000003,1.0999999999999996,1,1,0
44,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,13,12574,1782906138,2026-07-01T11:42:18+00:00,2026-07-01T14:42:18+03:00,12575,4,win,0.20000000000000007,1.1000000000000032,0.8999999999999995,1,2,0
45,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,13,12697,1782906261,2026-07-01T11:44:21+00:00,2026-07-01T14:44:21+03:00,12698,1,loss,-0.35,0.7500000000000032,1.2499999999999996,3,0,1
46,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,13,12795,1782906359,2026-07-01T11:45:59+00:00,2026-07-01T14:45:59+03:00,12796,8,win,0.20000000000000007,0.9500000000000033,1.0499999999999994,1,1,0
47,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,14,13009,1782906573,2026-07-01T11:49:33+00:00,2026-07-01T14:49:33+03:00,13010,1,loss,-0.35,0.6000000000000033,1.3999999999999995,3,0,1
48,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,14,13416,1782906980,2026-07-01T11:56:20+00:00,2026-07-01T14:56:20+03:00,13417,9,win,0.20000000000000007,0.8000000000000034,1.1999999999999993,1,1,0
49,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,15,14347,1782907911,2026-07-01T12:11:51+00:00,2026-07-01T15:11:51+03:00,14348,8,win,0.20000000000000007,1.0000000000000036,0.9999999999999991,1,2,0
50,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,15,14376,1782907940,2026-07-01T12:12:20+00:00,2026-07-01T15:12:20+03:00,14377,9,win,0.20000000000000007,1.2000000000000037,0.7999999999999989,1,3,0
51,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,15,14746,1782908310,2026-07-01T12:18:30+00:00,2026-07-01T15:18:30+03:00,14747,7,win,0.20000000000000007,1.400000000000004,0.5999999999999988,1,4,0
52,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,15,14856,1782908420,2026-07-01T12:20:20+00:00,2026-07-01T15:20:20+03:00,14857,7,win,0.20000000000000007,1.600000000000004,0.3999999999999986,1,5,0
53,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,15,14925,1782908489,2026-07-01T12:21:29+00:00,2026-07-01T15:21:29+03:00,14926,3,loss,-0.35,1.250000000000004,0.7499999999999987,3,0,1
54,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,16,15011,1782908575,2026-07-01T12:22:55+00:00,2026-07-01T15:22:55+03:00,15012,6,win,0.20000000000000007,1.4500000000000042,0.5499999999999985,1,1,0
55,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,16,15228,1782908792,2026-07-01T12:26:32+00:00,2026-07-01T15:26:32+03:00,15229,8,win,0.20000000000000007,1.6500000000000044,0.3499999999999983,1,2,0
56,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,16,15510,1782909074,2026-07-01T12:31:14+00:00,2026-07-01T15:31:14+03:00,15511,9,win,0.20000000000000007,1.8500000000000045,0.14999999999999813,1,3,0
57,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,16,15574,1782909138,2026-07-01T12:32:18+00:00,2026-07-01T15:32:18+03:00,15575,8,win,0.20000000000000007,2.0500000000000047,0.0,1,4,0
58,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,16,15650,1782909214,2026-07-01T12:33:34+00:00,2026-07-01T15:33:34+03:00,15651,4,win,0.20000000000000007,2.250000000000005,0.0,1,5,0
59,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,16,15666,1782909230,2026-07-01T12:33:50+00:00,2026-07-01T15:33:50+03:00,15667,0,loss,-0.35,1.9000000000000048,0.3500000000000001,3,0,1
60,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,16,15839,1782909403,2026-07-01T12:36:43+00:00,2026-07-01T15:36:43+03:00,15840,2,loss,-0.35,1.5500000000000047,0.7000000000000002,3,0,2
61,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,16,15896,1782909460,2026-07-01T12:37:40+00:00,2026-07-01T15:37:40+03:00,15897,2,loss,-0.35,1.2000000000000046,1.0500000000000003,15,0,3
62,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,16,15967,1782909531,2026-07-01T12:38:51+00:00,2026-07-01T15:38:51+03:00,15968,2,loss,-0.35,0.8500000000000046,1.4000000000000004,15,0,4
63,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,17,16080,1782909644,2026-07-01T12:40:44+00:00,2026-07-01T15:40:44+03:00,16081,3,loss,-0.35,0.5000000000000047,1.7500000000000002,50,0,5
64,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,17,16302,1782909866,2026-07-01T12:44:26+00:00,2026-07-01T15:44:26+03:00,16303,1,loss,-0.35,0.15000000000000469,2.1,50,0,6
65,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,17,16765,1782910329,2026-07-01T12:52:09+00:00,2026-07-01T15:52:09+03:00,16766,5,win,0.20000000000000007,0.35000000000000475,1.9000000000000001,1,1,0
66,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,17,16906,1782910470,2026-07-01T12:54:30+00:00,2026-07-01T15:54:30+03:00,16907,8,win,0.20000000000000007,0.5500000000000048,1.7000000000000002,1,2,0
67,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,18,17058,1782910622,2026-07-01T12:57:02+00:00,2026-07-01T15:57:02+03:00,17059,7,win,0.20000000000000007,0.7500000000000049,1.5,1,3,0
68,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,18,17639,1782911203,2026-07-01T13:06:43+00:00,2026-07-01T16:06:43+03:00,17640,6,win,0.20000000000000007,0.950000000000005,1.2999999999999998,1,4,0
69,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,18,17801,1782911365,2026-07-01T13:09:25+00:00,2026-07-01T16:09:25+03:00,17802,6,win,0.20000000000000007,1.150000000000005,1.0999999999999999,1,5,0
70,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,18,17963,1782911527,2026-07-01T13:12:07+00:00,2026-07-01T16:12:07+03:00,17964,5,win,0.20000000000000007,1.350000000000005,0.8999999999999999,1,6,0
71,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,19,18039,1782911603,2026-07-01T13:13:23+00:00,2026-07-01T16:13:23+03:00,18040,9,win,0.20000000000000007,1.5500000000000052,0.6999999999999997,1,7,0
72,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,19,18265,1782911829,2026-07-01T13:17:09+00:00,2026-07-01T16:17:09+03:00,18266,5,win,0.20000000000000007,1.7500000000000053,0.49999999999999956,1,8,0
73,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,19,18460,1782912024,2026-07-01T13:20:24+00:00,2026-07-01T16:20:24+03:00,18461,7,win,0.20000000000000007,1.9500000000000055,0.2999999999999994,1,9,0
74,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,19,18477,1782912041,2026-07-01T13:20:41+00:00,2026-07-01T16:20:41+03:00,18478,6,win,0.20000000000000007,2.1500000000000057,0.0999999999999992,1,10,0
75,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,19,18573,1782912137,2026-07-01T13:22:17+00:00,2026-07-01T16:22:17+03:00,18574,4,win,0.20000000000000007,2.350000000000006,0.0,1,11,0
76,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,20,19504,1782913068,2026-07-01T13:37:48+00:00,2026-07-01T16:37:48+03:00,19505,3,loss,-0.35,2.0000000000000058,0.3500000000000001,3,0,1
77,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,20,19714,1782913278,2026-07-01T13:41:18+00:00,2026-07-01T16:41:18+03:00,19715,0,loss,-0.35,1.6500000000000057,0.7000000000000002,3,0,2
78,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,20,19795,1782913359,2026-07-01T13:42:39+00:00,2026-07-01T16:42:39+03:00,19796,4,win,0.20000000000000007,1.8500000000000059,0.5,1,1,0
79,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,20,19831,1782913395,2026-07-01T13:43:15+00:00,2026-07-01T16:43:15+03:00,19832,6,win,0.20000000000000007,2.050000000000006,0.2999999999999998,1,2,0
80,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,20,19874,1782913438,2026-07-01T13:43:58+00:00,2026-07-01T16:43:58+03:00,19875,1,loss,-0.35,1.700000000000006,0.6499999999999999,3,0,1
81,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,21,20012,1782913576,2026-07-01T13:46:16+00:00,2026-07-01T16:46:16+03:00,20013,9,win,0.20000000000000007,1.9000000000000061,0.44999999999999973,1,1,0
82,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,21,20358,1782913922,2026-07-01T13:52:02+00:00,2026-07-01T16:52:02+03:00,20359,1,loss,-0.35,1.550000000000006,0.7999999999999998,3,0,1
83,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,21,20435,1782913999,2026-07-01T13:53:19+00:00,2026-07-01T16:53:19+03:00,20436,6,win,0.20000000000000007,1.7500000000000062,0.5999999999999996,1,1,0
84,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,21,20612,1782914176,2026-07-01T13:56:16+00:00,2026-07-01T16:56:16+03:00,20613,5,win,0.20000000000000007,1.9500000000000064,0.39999999999999947,1,2,0
85,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,21,20854,1782914418,2026-07-01T14:00:18+00:00,2026-07-01T17:00:18+03:00,20855,1,loss,-0.35,1.6000000000000063,0.7499999999999996,3,0,1
86,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,21,20996,1782914560,2026-07-01T14:02:40+00:00,2026-07-01T17:02:40+03:00,20997,9,win,0.20000000000000007,1.8000000000000065,0.5499999999999994,1,1,0
87,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,22,21024,1782914588,2026-07-01T14:03:08+00:00,2026-07-01T17:03:08+03:00,21025,5,win,0.20000000000000007,2.0000000000000067,0.3499999999999992,1,2,0
88,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,22,21843,1782915407,2026-07-01T14:16:47+00:00,2026-07-01T17:16:47+03:00,21844,8,win,0.20000000000000007,2.200000000000007,0.14999999999999902,1,3,0
89,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,23,22050,1782915614,2026-07-01T14:20:14+00:00,2026-07-01T17:20:14+03:00,22051,5,win,0.20000000000000007,2.400000000000007,0.0,1,4,0
90,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,23,22079,1782915643,2026-07-01T14:20:43+00:00,2026-07-01T17:20:43+03:00,22080,4,win,0.20000000000000007,2.600000000000007,0.0,1,5,0
91,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,23,22831,1782916395,2026-07-01T14:33:15+00:00,2026-07-01T17:33:15+03:00,22832,9,win,0.20000000000000007,2.8000000000000074,0.0,1,6,0
92,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,24,23399,1782916963,2026-07-01T14:42:43+00:00,2026-07-01T17:42:43+03:00,23400,9,win,0.20000000000000007,3.0000000000000075,0.0,1,7,0
93,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,24,23754,1782917318,2026-07-01T14:48:38+00:00,2026-07-01T17:48:38+03:00,23755,6,win,0.20000000000000007,3.2000000000000077,0.0,1,8,0
94,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,25,24222,1782917786,2026-07-01T14:56:26+00:00,2026-07-01T17:56:26+03:00,24223,1,loss,-0.35,2.8500000000000076,0.3500000000000001,3,0,1
95,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,25,24612,1782918176,2026-07-01T15:02:56+00:00,2026-07-01T18:02:56+03:00,24613,6,win,0.20000000000000007,3.050000000000008,0.1499999999999999,1,1,0
96,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,25,24791,1782918355,2026-07-01T15:05:55+00:00,2026-07-01T18:05:55+03:00,24792,0,loss,-0.35,2.7000000000000077,0.5,3,0,1
97,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,26,25319,1782918883,2026-07-01T15:14:43+00:00,2026-07-01T18:14:43+03:00,25320,8,win,0.20000000000000007,2.900000000000008,0.2999999999999998,1,1,0
98,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,26,25346,1782918910,2026-07-01T15:15:10+00:00,2026-07-01T18:15:10+03:00,25347,5,win,0.20000000000000007,3.100000000000008,0.09999999999999964,1,2,0
99,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,26,25360,1782918924,2026-07-01T15:15:24+00:00,2026-07-01T18:15:24+03:00,25361,3,loss,-0.35,2.750000000000008,0.44999999999999973,3,0,1
100,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,27,26135,1782919699,2026-07-01T15:28:19+00:00,2026-07-01T18:28:19+03:00,26136,1,loss,-0.35,2.400000000000008,0.7999999999999998,3,0,2
101,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,27,26329,1782919893,2026-07-01T15:31:33+00:00,2026-07-01T18:31:33+03:00,26330,6,win,0.20000000000000007,2.600000000000008,0.5999999999999996,1,1,0
102,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,27,26415,1782919979,2026-07-01T15:32:59+00:00,2026-07-01T18:32:59+03:00,26416,0,loss,-0.35,2.250000000000008,0.9499999999999997,3,0,1
103,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,27,26978,1782920542,2026-07-01T15:42:22+00:00,2026-07-01T18:42:22+03:00,26979,4,win,0.20000000000000007,2.450000000000008,0.7499999999999996,1,1,0
104,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,27,26989,1782920553,2026-07-01T15:42:33+00:00,2026-07-01T18:42:33+03:00,26990,6,win,0.20000000000000007,2.6500000000000083,0.5499999999999994,1,2,0
